,song_name,artist,location_at_chart,year_of_billboard
0,somebody that i used to know,gotye featuring kimbra,1,2012
1,call me maybe,carly rae jepsen,2,2012
2,we are young,fun. featuring janelle monae,3,2012
3,payphone,maroon 5 featuring wiz khalifa,4,2012
4,lights,ellie goulding,5,2012
5,glad you came,the wanted,6,2012
6,stronger (what doesn't kill you),kelly clarkson,7,2012
7,we found love,rihanna featuring calvin harris,8,2012
8,starships,nicki minaj,9,2012
9,what makes you beautiful,one direction,10,2012
10,wild ones,flo rida featuring sia,11,2012
11,set fire to the rain,adele,12,2012
12,sexy and i know it,lmfao,13,2012
13,some nights,fun.,14,2012
14,wide awake,katy perry,15,2012
15,good feeling,flo rida,16,2012
16,whistle,flo rida,17,2012
17,one more night,maroon 5,18,2012
18,drive by,train,19,2012
19,the motto,drake featuring lil wayne,20,2012
20,where have you been,rihanna,21,2012
21,everybody talks,neon trees,22,2012
22,take care,drake featuring rihanna,23,2012
23,titanium,david guetta featuring sia,24,2012
24,i won't give up,jason mraz,25,2012
25,it will rain,bruno mars,26,2012
26,mercy,"kanye west, big sean, pusha t, 2 chainz",27,2012
27,boyfriend,justin bieber,28,2012
28,party rock anthem,lmfao featuring lauren bennett & goonrock,29,2012
29,too close,alex clare,30,2012
30,part of me,katy perry,31,2012
31,"young, wild & free",snoop dogg & wiz khalifa featuring bruno mars,32,2012
32,we are never ever getting back together,taylor swift,33,2012
33,as long as you love me,justin bieber featuring big sean,34,2012
34,turn me on,david guetta featuring nicki minaj,35,2012
35,moves like jagger,maroon 5 featuring christina aguilera,36,2012
36,blow me (one last kiss),p!nk,37,2012
37,good time,owl city & carly rae jepsen,38,2012
38,give your heart a break,demi lovato,39,2012
39,ni**as in paris,jay z kanye west,40,2012
40,the one that got away,katy perry,41,2012
41,feel so close,calvin harris,42,2012
42,someone like you,adele,43,2012
43,scream,usher,44,2012
44,rack city,tyga,45,2012
45,domino,jessie j,46,2012
46,gangnam style,psy,47,2012
47,international love,pitbull featuring chris brown,48,2012
48,home,phillip phillips,49,2012
49,without you,david guetta featuring usher,50,2012
50,ass back home,gym class heroes featuring neon hitch,51,2012
51,wanted,hunter hayes,52,2012
52,drunk on you,luke bryan,53,2012
53,no lie,2 chainz featuring drake,54,2012
54,want u back,cher lloyd,55,2012
55,don't wake me up,chris brown,56,2012
56,dance (a$$),big sean featuring nicki minaj,57,2012
57,springsteen,eric church,58,2012
58,brokenhearted,karmin,59,2012
59,not over you,gavin degraw,60,2012
60,stereo hearts,gym class heroes featuring adam levine,61,2012
61,back in time,pitbull,62,2012
62,work out,j. cole,63,2012
63,rumour has it,adele,64,2012
64,let's go,calvin harris featuring ne-yo,65,2012
65,good girl,carrie underwood,66,2012
66,pontoon,little big town,67,2012
67,ho hey,the lumineers,68,2012
68,paradise,coldplay,69,2012
69,blown away,carrie underwood,70,2012
70,rolling in the deep,adele,71,2012
71,climax,usher,72,2012
72,"work hard, play hard",wiz khalifa,73,2012
73,let me love you (until you learn to love yourself),ne-yo,74,2012
74,pound the alarm,nicki minaj,75,2012
75,come over,kenny chesney,76,2012
76,heart attack,trey songz,77,2012
77,drank in my cup,kirko bangz,78,2012
78,birthday cake,rihanna featuring chris brown,79,2012
79,so good,b.o.b,80,2012
80,50 ways to say goodbye,train,81,2012
81,red solo cup,toby keith,82,2012
82,love you like a love song,selena gomez & the scene,83,2012
83,turn up the music,chris brown,84,2012
84,die young,ke$ha,85,2012
85,5 o'clock,t-pain featuring wiz khalifa & lily allen,86,2012
86,a thousand years,christina perri,87,2012
87,take a little ride,jason aldean,88,2012
88,you da one,rihanna,89,2012
89,we run the night,havana brown featuring pitbull,90,2012
90,it's time,imagine dragons,91,2012
91,cashin' out,ca$h out,92,2012
92,i don't want this night to end,luke bryan,93,2012
93,diamonds,rihanna,94,2012
94,hard to love,lee brice,95,2012
95,somethin' 'bout a truck,kip moore,96,2012
96,adorn,miguel,97,2012
97,fly over states,jason aldean,98,2012
98,even if it breaks your heart,eli young band,99,2012
99,burn it down,linkin park,100,2012
100,rolling in the deep,adele,1,2011
101,party rock anthem,lmfao featuring lauren bennett & goonrock,2,2011
102,firework,katy perry,3,2011
103,e.t.,katy perry featuring kanye west,4,2011
104,give me everything,"pitbull featuring ne-yo, afrojack & nayer",5,2011
105,grenade,bruno mars,6,2011
106,super bass,nicki minaj,8,2011
107,moves like jagger,maroon 5 featuring christina aguilera,9,2011
108,just can't get enough,the black eyed peas,10,2011
109,on the floor,jennifer lopez featuring pitbull,11,2011
110,s&m,rihanna,12,2011
111,pumped up kicks,foster the people,13,2011
112,last friday night (t.g.i.f.),katy perry,14,2011
113,just the way you are,bruno mars,15,2011
114,tonight (i'm lovin' you),enrique iglesias featuring ludacris & dj frank e,16,2011
115,raise your glass,p!nk,17,2011
116,born this way,lady gaga,18,2011
117,f**kin' perfect,p!nk,19,2011
118,what's my name?,rihanna featuring drake,20,2011
119,look at me now,chris brown featuring lil wayne & busta rhymes,21,2011
120,down on me,jeremih featuring 50 cent,22,2011
121,how to love,lil wayne,23,2011
122,someone like you,adele,24,2011
123,good life,onerepublic,25,2011
124,the lazy song,bruno mars,26,2011
125,till the world ends,britney spears,27,2011
126,the show goes on,lupe fiasco,28,2011
127,the edge of glory,lady gaga,29,2011
128,we r who we r,ke$ha,30,2011
129,black and yellow,wiz khalifa,31,2011
130,tonight tonight,hot chelle rae,32,2011
131,blow,ke$ha,33,2011
132,lighters,bad meets evil featuring bruno mars,34,2011
133,if i die young,the band perry,35,2011
134,stereo hearts,gym class heroes featuring adam levine,36,2011
135,the time (dirty bit),the black eyed peas,37,2011
136,coming home,diddy - dirty money featuring skylar grey,38,2011
137,hey baby (drop it to the floor),pitbull featuring t-pain,39,2011
138,only girl (in the world),rihanna,40,2011
139,6 foot 7 foot,lil wayne featuring cory gunz,41,2011
140,just a kiss,lady antebellum,42,2011
141,dirt road anthem,jason aldean,43,2011
142,dynamite,taio cruz,44,2011
143,no hands,waka flocka flame featuring roscoe dash & wale,45,2011
144,i wanna go,britney spears,46,2011
145,i'm on one,"dj khaled featuring drake, rick ross & lil wayne",47,2011
146,you make me feel...,cobra starship featuring sabi,48,2011
147,yeah 3x,chris brown,49,2011
148,moment 4 life,nicki minaj featuring drake,50,2011
149,i need a doctor,dr. dre featuring eminem & skylar grey,51,2011
150,just a dream,nelly,52,2011
151,motivation,kelly rowland featuring lil wayne,53,2011
152,stereo love,edward maya & vika jigulina,54,2011
153,jar of hearts,christina perri,55,2011
154,roll up,wiz khalifa,56,2011
155,sexy and i know it,lmfao,57,2011
156,rocketeer,far*east movement featuring ryan tedder,58,2011
157,all of the lights,kanye west,59,2011
158,hold it against me,britney spears,60,2011
159,more,usher,61,2011
160,what the hell,avril lavigne,62,2011
161,written in the stars,tinie tempah featuring eric turner,63,2011
162,bottoms up,trey songz featuring nicki minaj,64,2011
163,dj got us fallin' in love,usher featuring pitbull,65,2011
164,for the first time,the script,66,2011
165,honey bee,blake shelton,67,2011
166,don't you wanna stay,jason aldean with kelly clarkson,68,2011
167,we found love,rihanna featuring calvin harris,69,2011
168,pretty girl rock,keri hilson,70,2011
169,you and i,lady gaga,71,2011
170,like a g6,far*east movement featuring cataracs & dev,72,2011
171,without you,david guetta featuring usher,73,2011
172,back to december,taylor swift,74,2011
173,teenage dream,katy perry,75,2011
174,crazy girl,eli young band,76,2011
175,cheers (drink to that),rihanna,77,2011
176,who says,selena gomez & the scene,78,2011
177,barefoot blue jean night,jake owen,79,2011
178,knee deep,zac brown band featuring jimmy buffett,80,2011
179,country girl (shake it for me),luke bryan,81,2011
180,remind me,brad paisley duet with carrie underwood,82,2011
181,in the dark,dev,83,2011
182,backseat,new boyz featuring the cataracs & dev,84,2011
183,headlines,drake,85,2011
184,best thing i never had,beyonce,86,2011
185,don't wanna go home,jason derulo,87,2011
186,where them girls at,david guetta featuring flo rida & nicki minaj,88,2011
187,she ain't you,chris brown,89,2011
188,take a back road,rodney atkins,90,2011
189,please don't go,mike posner,91,2011
190,sure thing,miguel,92,2011
191,price tag,jessie j featuring b.o.b,93,2011
192,god gave me you,blake shelton,94,2011
193,she will,lil wayne featuring drake,95,2011
194,are you gonna kiss me or not,thompson square,96,2011
195,animal,neon trees,97,2011
196,you and tequila,kenny chesney featuring grace potter,98,2011
197,colder weather,zac brown band,99,2011
198,my last,big sean featuring chris brown,100,2011
